year_month,Sri Lanka tourism,Sri Lanka travel
2017-01-31,22.0,52.0
2017-02-28,21.0,45.0
2017-03-31,22.0,42.0
2017-04-30,19.0,40.0
2017-05-31,20.0,41.0
2017-06-30,21.0,38.0
2017-07-31,25.0,46.0
2017-08-31,26.0,45.0
2017-09-30,20.0,42.0
2017-10-31,19.0,45.0
2017-11-30,20.0,48.0
2017-12-31,23.0,48.0
2018-01-31,25.0,64.0
2018-02-28,19.0,49.0
2018-03-31,23.0,59.0
2018-04-30,19.0,43.0
2018-05-31,22.0,42.0
2018-06-30,18.0,43.0
2018-07-31,21.0,46.0
2018-08-31,23.0,50.0
2018-09-30,21.0,45.0
2018-10-31,22.0,50.0
2018-11-30,22.0,51.0
2018-12-31,22.0,49.0
2019-01-31,23.0,60.0
2019-02-28,24.0,51.0
2019-03-31,23.0,52.0
2019-04-30,31.0,100.0
2019-05-31,20.0,52.0
2019-06-30,18.0,48.0
2019-07-31,20.0,42.0
2019-08-31,20.0,42.0
2019-09-30,22.0,41.0
2019-10-31,18.0,40.0
2019-11-30,21.0,45.0
2019-12-31,21.0,46.0
2020-01-31,24.0,58.0
2020-02-29,20.0,50.0
2020-03-31,12.0,58.0
2020-04-30,10.0,17.0
2020-05-31,11.0,19.0
2020-06-30,13.0,21.0
2020-07-31,12.0,23.0
2020-08-31,14.0,25.0
2020-09-30,15.0,22.0
2020-10-31,12.0,20.0
2020-11-30,11.0,19.0
2020-12-31,15.0,23.0
2021-01-31,15.0,25.0
2021-02-28,13.0,24.0
2021-03-31,14.0,27.0
2021-04-30,12.0,29.0
2021-05-31,10.0,37.0
2021-06-30,11.0,33.0
2021-07-31,13.0,39.0
2021-08-31,11.0,33.0
2021-09-30,13.0,34.0
2021-10-31,15.0,45.0
2021-11-30,14.0,49.0
2021-12-31,12.0,50.0
2022-01-31,19.0,61.0
2022-02-28,20.0,67.0
2022-03-31,24.0,61.0
2022-04-30,21.0,51.0
2022-05-31,16.0,46.0
2022-06-30,15.0,39.0
2022-07-31,17.0,42.0
2022-08-31,15.0,32.0
2022-09-30,17.0,32.0
2022-10-31,16.0,32.0
2022-11-30,16.0,30.0
2022-12-31,15.0,32.0
2023-01-31,15.0,43.0
2023-02-28,14.0,38.0
2023-03-31,16.0,35.0
2023-04-30,13.0,35.0
2023-05-31,15.0,33.0
2023-06-30,16.0,35.0
2023-07-31,16.0,38.0
2023-08-31,14.0,35.0
2023-09-30,17.0,39.0
2023-10-31,16.0,40.0
2023-11-30,16.0,39.0
2023-12-31,15.0,38.0
2024-01-31,16.0,51.0
2024-02-29,16.0,44.0
2024-03-31,15.0,42.0
2024-04-30,13.0,37.0
2024-05-31,15.0,39.0
2024-06-30,13.0,39.0
2024-07-31,14.0,45.0
2024-08-31,14.0,47.0
2024-09-30,13.0,43.0
2024-10-31,14.0,48.0
2024-11-30,15.0,50.0
2024-12-31,14.0,48.0
