year,month,mean_temp,max_temp,min_temp,total_precip
2017,1,22.848387096774193,32.6,5.2,643.4
2017,2,23.199285714285715,34.3,6.2,252.3
2017,3,24.15225806451613,32.9,7.9,547.7
2017,4,25.534666666666666,38.8,10.6,514.4
2017,5,25.28451612903226,37.6,11.9,1138.7
2017,6,24.791999999999998,37.3,12.9,923.5
2017,7,24.98193548387097,37.9,12.5,705.7
2017,8,24.4,36.3,11.6,1096.8999999999999
2017,9,24.107333333333333,35.4,11.3,1053.7
2017,10,24.05483870967742,36.1,11.6,1443.6
2017,11,23.250666666666667,32.0,10.2,1949.1
2017,12,23.153548387096773,31.0,9.9,622.0
2018,1,23.047741935483867,33.1,6.3,181.2
2018,2,23.783571428571427,33.7,9.2,374.6
2018,3,24.294193548387096,33.8,9.8,573.0
2018,4,24.803333333333335,34.8,11.4,578.2
2018,5,24.383225806451613,36.8,12.3,1690.3
2018,6,24.413333333333334,36.6,12.9,1151.4999999999998
2018,7,24.23677419354839,37.9,11.6,861.8000000000001
2018,8,23.900645161290324,36.5,11.0,945.2
2018,9,24.169333333333334,37.6,10.5,793.9
2018,10,23.36193548387097,33.0,11.2,2179.6000000000004
2018,11,23.294,31.8,9.5,1879.0999999999997
2018,12,23.08,31.3,9.2,605.8000000000001
2019,1,23.107096774193547,34.0,6.3,271.4
2019,2,23.763571428571428,33.4,8.4,683.2
2019,3,24.65096774193548,34.7,8.3,282.0
2019,4,25.538000000000004,34.7,11.0,600.9000000000001
2019,5,25.793548387096774,38.8,11.3,498.0
2019,6,25.56066666666667,37.9,12.9,811.1999999999999
2019,7,24.921290322580646,37.5,10.9,686.3
2019,8,24.225161290322582,37.4,12.4,1402.0
2019,9,23.986666666666665,37.4,12.2,1303.0
2019,10,23.261290322580646,31.4,11.4,2196.1
2019,11,23.589333333333336,32.2,10.9,1139.6000000000001
2019,12,23.36709677419355,31.0,9.8,1070.1999999999998
2020,1,23.75161290322581,33.1,8.0,157.4
2020,2,24.4048275862069,35.4,8.6,194.3
2020,3,25.405806451612904,34.5,8.9,159.6
2020,4,25.423333333333336,34.9,10.5,703.4
2020,5,25.356129032258064,36.2,13.3,1214.3
2020,6,25.02466666666667,37.5,11.5,749.9
2020,7,24.463870967741933,36.2,12.3,959.2
2020,8,24.42451612903226,36.7,10.9,832.3999999999999
2020,9,23.821999999999996,36.4,11.7,1347.6999999999998
2020,10,24.192903225806454,37.0,10.8,667.2
2020,11,23.73,32.2,10.4,1633.8000000000002
2020,12,23.053548387096775,30.4,9.3,1367.9000000000003
2021,1,22.925161290322578,30.6,7.7,1601.9
2021,2,23.484285714285715,32.6,8.7,223.10000000000002
2021,3,24.07935483870968,35.2,7.0,566.3000000000001
2021,4,24.785999999999998,37.8,9.5,705.6
2021,5,24.750967741935483,36.3,12.8,1695.1
2021,6,24.467333333333336,36.7,11.6,907.0000000000001
2021,7,24.42451612903226,36.7,11.4,1160.9
2021,8,24.08967741935484,36.7,10.4,991.6
2021,9,24.199333333333335,36.8,11.7,934.0
2021,10,23.764516129032256,34.2,12.0,1346.3999999999999
2021,11,22.98933333333333,32.3,9.9,2061.8
2021,12,23.169032258064515,31.9,7.4,450.6
2022,1,23.069032258064517,33.1,6.5,390.8
2022,2,23.645714285714284,34.7,7.5,396.20000000000005
2022,3,24.449032258064516,34.8,10.4,289.8
2022,4,24.15266666666667,33.9,10.8,971.5999999999999
2022,5,24.598064516129035,35.4,13.5,1670.9
2022,6,24.295333333333332,36.3,12.3,861.4
2022,7,24.188387096774193,36.1,12.1,804.8
2022,8,23.77032258064516,36.7,11.0,1363.9
2022,9,23.881333333333334,36.4,10.4,645.2
2022,10,23.20193548387097,35.3,10.3,1671.3
2022,11,22.867333333333335,31.5,9.5,1138.1
2022,12,22.58774193548387,30.4,7.9,1025.1
2023,1,22.38064516129032,31.0,6.1,493.9
2023,2,23.00642857142857,32.6,6.0,504.1
2023,3,23.937419354838713,33.1,10.4,488.29999999999995
2023,4,24.856666666666666,36.0,10.3,574.6
2023,5,24.96838709677419,37.0,11.8,789.0
2023,6,25.118,37.3,12.8,839.4
2023,7,24.60451612903226,37.3,11.7,902.5
2023,8,24.984516129032258,37.5,11.3,538.5
2023,9,23.972,35.5,11.9,1697.4
2023,10,23.432903225806452,33.5,11.6,2245.2
2023,11,23.286,30.4,10.7,2564.4999999999995
2023,12,23.486451612903224,32.0,10.0,1756.4
2024,1,23.429032258064517,32.6,6.5,801.4
2024,2,24.566206896551726,35.4,10.0,223.9
2024,3,25.20258064516129,34.5,9.7,310.90000000000003
2024,4,25.897333333333336,35.9,11.2,588.9000000000001
2024,5,25.398064516129033,38.1,13.6,2438.1000000000004
2024,6,24.884666666666668,36.2,11.7,1109.1000000000001
2024,7,24.930967741935483,37.9,12.5,944.8
2024,8,24.363225806451613,37.1,12.8,1200.2
2024,9,24.64666666666667,36.9,11.3,1007.4000000000001
2024,10,23.825806451612902,35.4,11.3,1407.0
2024,11,23.217333333333336,31.4,11.0,2489.1000000000004
2024,12,23.55483870967742,32.4,10.5,762.0
2025,1,22.99032258064516,33.6,10.3,1521.3999999999999
2025,2,23.86857142857143,35.4,9.1,302.2
2025,3,24.250322580645157,33.8,10.3,603.2
2025,4,24.402,34.7,12.7,1022.9
2025,5,24.996129032258064,35.1,12.4,924.2
2025,6,24.721333333333334,36.6,12.5,1033.1000000000001
2025,7,24.679354838709678,36.9,12.5,1271.2
2025,8,24.259354838709676,36.9,11.3,696.1
2025,9,24.413333333333334,36.1,11.4,874.3999999999999
